epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,1912.22,0.7169,0.56488,1.24077,0.89449,0.87563,0.93981,0.80439,0.6791,0.43958,1.19947,0.0009308,0.0009308,0.0009308
56,1946.56,0.72455,0.56432,1.23629,0.91767,0.87056,0.95569,0.79279,0.74572,0.4634,1.24055,0.000911,0.000911,0.000911
57,1982.02,0.71389,0.55237,1.23301,0.90313,0.88325,0.94828,0.79533,0.7367,0.45604,1.26512,0.0008912,0.0008912,0.0008912
58,2015.7,0.72014,0.56589,1.23469,0.89752,0.88832,0.94663,0.78616,0.78194,0.45196,1.31502,0.0008714,0.0008714,0.0008714
59,2050.54,0.70447,0.55346,1.23278,0.94143,0.85666,0.94789,0.78973,0.73407,0.44288,1.25191,0.0008516,0.0008516,0.0008516
60,2084.98,0.70973,0.53539,1.23034,0.91235,0.86041,0.94192,0.78219,0.74926,0.46157,1.26172,0.0008318,0.0008318,0.0008318
61,2119.11,0.69542,0.55363,1.21718,0.8977,0.86862,0.92555,0.77501,0.75682,0.46879,1.25354,0.000812,0.000812,0.000812
62,2154.02,0.69395,0.53936,1.20287,0.91609,0.88665,0.94853,0.79823,0.71005,0.458,1.23003,0.0007922,0.0007922,0.0007922
63,2187.78,0.67128,0.52747,1.20109,0.91119,0.8854,0.94544,0.80083,0.72311,0.44217,1.24514,0.0007724,0.0007724,0.0007724
64,2223.58,0.67613,0.52254,1.20259,0.92251,0.87817,0.9459,0.79592,0.71395,0.41839,1.2345,0.0007526,0.0007526,0.0007526
65,2257.56,0.6923,0.52456,1.22248,0.94574,0.85025,0.94681,0.7959,0.70233,0.45634,1.21939,0.0007328,0.0007328,0.0007328
66,2292.93,0.67514,0.5112,1.1948,0.88037,0.89656,0.94539,0.77596,0.77357,0.45972,1.27908,0.000713,0.000713,0.000713
67,2326.82,0.68783,0.5123,1.20184,0.90746,0.88579,0.95595,0.79148,0.72594,0.43362,1.25874,0.0006932,0.0006932,0.0006932
68,2361.33,0.66687,0.51719,1.19361,0.89911,0.88832,0.94878,0.79552,0.70434,0.44166,1.2299,0.0006734,0.0006734,0.0006734
69,2396.41,0.67112,0.51173,1.19449,0.90425,0.88685,0.95575,0.81308,0.69223,0.42129,1.20907,0.0006536,0.0006536,0.0006536
70,2430.44,0.66109,0.49638,1.19174,0.89973,0.88579,0.95085,0.8067,0.72481,0.42622,1.24863,0.0006338,0.0006338,0.0006338
71,2466.35,0.64859,0.4988,1.17963,0.90076,0.89848,0.95081,0.81021,0.68675,0.42428,1.2216,0.000614,0.000614,0.000614
72,2500.55,0.64206,0.48896,1.17593,0.91494,0.88832,0.9521,0.79615,0.73404,0.43433,1.25625,0.0005942,0.0005942,0.0005942
73,2535.91,0.65139,0.48551,1.18043,0.88693,0.90609,0.94288,0.8085,0.71027,0.42812,1.23106,0.0005744,0.0005744,0.0005744
74,2570.01,0.64803,0.49497,1.17864,0.89056,0.88809,0.9401,0.79313,0.72399,0.44341,1.24107,0.0005546,0.0005546,0.0005546
75,2604.69,0.64875,0.48568,1.16968,0.90249,0.89265,0.95236,0.81315,0.66962,0.40375,1.19367,0.0005348,0.0005348,0.0005348
76,2639.76,0.63389,0.47659,1.17524,0.92132,0.8731,0.9511,0.79776,0.73237,0.40836,1.24424,0.000515,0.000515,0.000515
77,2673.87,0.62702,0.47152,1.16842,0.90286,0.88579,0.95111,0.81248,0.68289,0.42907,1.2037,0.0004952,0.0004952,0.0004952
78,2709.53,0.63575,0.48499,1.17683,0.91488,0.88325,0.9508,0.80924,0.7019,0.42863,1.2233,0.0004754,0.0004754,0.0004754
79,2743.64,0.63165,0.47954,1.17311,0.90447,0.8934,0.95341,0.81073,0.70772,0.43574,1.22786,0.0004556,0.0004556,0.0004556
