epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
90,7560.19,0.72925,0.56375,1.17569,0.91497,0.84885,0.92119,0.76039,0.64939,0.45241,1.18455,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,7760.88,0.67591,0.43916,1.16327,0.91449,0.84503,0.91844,0.75934,0.64439,0.4517,1.17714,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,7959.34,0.66311,0.42352,1.15897,0.91212,0.85403,0.91973,0.76159,0.63943,0.45152,1.17302,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,8158.07,0.65628,0.41214,1.15631,0.8962,0.85727,0.91897,0.76352,0.63415,0.44903,1.17187,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,8359.39,0.64916,0.4083,1.1518,0.89576,0.85553,0.92042,0.76529,0.6315,0.44474,1.17029,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,8559.81,0.65318,0.3998,1.15302,0.86893,0.87287,0.92112,0.76601,0.6333,0.44182,1.17165,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,8759.83,0.63418,0.39266,1.14047,0.89665,0.84805,0.91978,0.76456,0.63534,0.44309,1.17304,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,8961.27,0.629,0.38711,1.13961,0.90074,0.85404,0.91899,0.76432,0.6366,0.44458,1.17425,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,9162.41,0.63056,0.38924,1.13934,0.89657,0.85839,0.92098,0.76557,0.6382,0.44258,1.17618,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,9363.07,0.62556,0.38361,1.13311,0.89306,0.86077,0.91934,0.76577,0.63624,0.4431,1.17482,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,9563.73,0.62506,0.3789,1.1342,0.89411,0.8592,0.91866,0.76606,0.6351,0.44865,1.17298,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
